file_name,total_time,total_timeQ1,total_timeQ3,total_timeQ5,total_timeQ10
RC_N20_R100_H100_h40_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,2.55,1.58,0.59,0.23,0.15
RC_N20_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,0.44,0.23,0.21,0.1,0.09
RC_N20_R100_H100_h60_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,0.22,0.24,0.08,0.06,0.02
RC_N20_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,0.67,0.48,0.22,0.14,0.09
RC_N20_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,1.14,0.72,0.3,0.25,0.15
RC_N20_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,0.42,0.44,0.2,0.14,0.13
RC_N20_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no2,0.04,0.03,0.03,0.03,0.03
RC_N20_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,0.62,0.41,0.4,0.29,0.16
RC_N20_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no5,0.03,0.03,0.03,0.03,0.02
RC_N20_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,1.27,0.46,0.22,0.19,0.14
RC_N20_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,1.2,0.72,0.28,0.2,0.12
RC_N20_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no4,0.04,0.05,0.03,0.03,0.04
RC_N20_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,0.35,0.12,0.13,0.04,0.02
RC_N20_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,0.04,0.02,0.02,0.02,0.02
RC_N20_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,0.19,0.15,0.1,0.06,0.04
